"Year","Location","Sunshine_duration","Altitude","Annual_Precipitation","Annual_temperature","Annual_ice_days","Annual_frost_days","Annual_summer_days","Annual_heat_days","Annual_tropic_days","Annual_precipitation_days"
1936,"Lugano",1922.7,273,1695.8,11.3,NA,NA,NA,NA,NA,NA
1936,"Luzern",1345.2,454,1233.1,8.7,NA,NA,NA,NA,NA,NA
1936,"Neuenburg",1486.8,485,904.1,9.2,NA,NA,NA,NA,NA,NA
1936,"Säntis",1475.4,2501,2578,-2.2,NA,NA,NA,NA,NA,NA
1936,"Samedan",NA,1709,619.6,1.2,NA,NA,NA,NA,NA,NA
1936,"Sitten",NA,482,572.2,9.1,NA,NA,NA,NA,NA,NA
1936,"St.Gallen",NA,776,1438,7.3,NA,NA,NA,NA,NA,NA
1936,"ZürichFluntern",1483.43333333333,556,1249.4,8.4,NA,NA,NA,NA,NA,NA
1937,"BaselBinningen",1410.81666666667,316,803.5,9.8,NA,NA,NA,NA,NA,NA
1937,"BernZollikofen",1626.4,553,1131.6,8.2,NA,NA,NA,NA,NA,NA
1937,"Davos",1418.5,1594,995.9,2.5,NA,NA,NA,NA,NA,NA
1937,"GenfCointrin",1714.83333333333,411,1094.1,10,NA,NA,NA,NA,NA,NA
1937,"LocarnoMonti",2203,367,2159,11.3,NA,NA,NA,NA,NA,NA
1937,"Lugano",2021.1,273,1938,11.6,NA,NA,NA,NA,NA,NA
1937,"Luzern",1369.9,454,1112.4,8.8,NA,NA,NA,NA,NA,NA
1937,"Neuenburg",1657,485,1117.7,9.3,NA,NA,NA,NA,NA,NA
1937,"Säntis",1376.3,2501,2477.7,-2.3,NA,NA,NA,NA,NA,NA
1937,"Samedan",NA,1709,838.2,1.4,NA,NA,NA,NA,NA,NA
1937,"Sitten",NA,482,546.7,9.5,NA,NA,NA,NA,NA,NA
1937,"St.Gallen",NA,776,1481.1,7.6,NA,NA,NA,NA,NA,NA
1937,"ZürichFluntern",1476.88333333333,556,1063.5,8.6,NA,NA,NA,NA,NA,NA
1938,"BaselBinningen",1752.71666666667,316,911.4,9.3,NA,NA,NA,NA,NA,NA
1938,"BernZollikofen",1944.28333333333,553,1018,7.8,NA,NA,NA,NA,NA,NA
1938,"Davos",1747.6,1594,860.6,2.3,NA,NA,NA,NA,NA,NA
1938,"GenfCointrin",1955.35,411,741.6,9.4,NA,NA,NA,NA,NA,NA
1938,"LocarnoMonti",2437.9,367,1782.8,11.4,NA,NA,NA,NA,NA,NA
1938,"Lugano",2229.6,273,1608.1,11.5,NA,NA,NA,NA,NA,NA
1938,"Luzern",1698.9,454,1031.3,8.4,NA,NA,NA,NA,NA,NA
1938,"Neuenburg",1860.8,485,937.4,9,NA,NA,NA,NA,NA,NA
1938,"Säntis",1767.4,2501,2018.7,-2,NA,NA,NA,NA,NA,NA
1938,"Samedan",NA,1709,530,1.1,NA,NA,NA,NA,NA,NA
1938,"Sitten",NA,482,462.2,9.2,NA,NA,NA,NA,NA,NA
1938,"St.Gallen",NA,776,1468.8,7.1,NA,NA,NA,NA,NA,NA
